"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"После удаления get_meta - 404 (побочный эффект проверен).","1962","test_delete_removes_resource","tests.test_disk","2026-09-20","passed","2026-09-20","TestDelete","test_disk_general","",""
"POST без токена - 401.","233","test_upload_from_url_unauthorized","tests.test_disk","2026-09-20","passed","2026-09-20","TestPostUploadFromUrl","test_disk_general","",""
"Без токена - 401.","229","test_get_meta_unauthorized","tests.test_disk","2026-09-20","passed","2026-09-20","TestGetMeta","test_disk_general","",""
"Публикация файла - 200 + Link на публичный ресурс.","1256","test_publish_success","tests.test_disk","2026-09-20","passed","2026-09-20","TestPublish","test_disk_general","",""
"POST с невалидным URL - 400.","354","test_upload_from_url_invalid_url[]","tests.test_disk","2026-09-20","passed","2026-09-20","TestPostUploadFromUrl","test_disk_general","",""
"Без токена - 401.","235","test_publish_unauthorized","tests.test_disk","2026-09-20","passed","2026-09-20","TestPublish","test_disk_general","",""
"POST с URL, который сервер не может скачать - операция failed при polling.","782","test_upload_from_url_async_failure","tests.test_disk","2026-09-20","passed","2026-09-20","TestPostUploadFromUrl","test_disk_general","",""
"Удаление несуществующего файла - 404.","432","test_delete_not_found","tests.test_disk","2026-09-20","passed","2026-09-20","TestDelete","test_disk_general","",""
"Снятие с публикации - 200.","862","test_unpublish_success","tests.test_disk","2026-09-20","passed","2026-09-20","TestPublish","test_disk_general","",""
"POST с невалидным URL - 400.","355","test_upload_from_url_invalid_url[not-a-url]","tests.test_disk","2026-09-20","passed","2026-09-20","TestPostUploadFromUrl","test_disk_general","",""
"Без токена - 401.","234","test_delete_unauthorized","tests.test_disk","2026-09-20","passed","2026-09-20","TestDelete","test_disk_general","",""
"Полный цикл: POST - polling - GET meta. Файл скопирован по URL.","3480","test_upload_from_url_success","tests.test_disk","2026-09-20","passed","2026-09-20","TestPostUploadFromUrl","test_disk_general","",""
"POST в несуществующую папку - 409 (семантически должно быть 404, но сервис отдает 409).","557","test_upload_from_url_parent_not_found","tests.test_disk","2026-09-20","passed","2026-09-20","TestPostUploadFromUrl","test_disk_general","",""
"Raw-метод: POST возвращает 202 и Link с href для polling.","3713","test_upload_from_url_returns_202_with_link","tests.test_disk","2026-09-20","passed","2026-09-20","TestPostUploadFromUrl","test_disk_general","",""
"POST с невалидным URL - 400.","434","test_upload_from_url_invalid_url[http://]","tests.test_disk","2026-09-20","passed","2026-09-20","TestPostUploadFromUrl","test_disk_general","",""
"Ответ содержит имя, соответствующее запрошенному пути.","503","test_get_meta_returns_correct_name","tests.test_disk","2026-09-20","passed","2026-09-20","TestGetMeta","test_disk_general","",""
"Публикация несуществующего файла - 404.","535","test_publish_not_found","tests.test_disk","2026-09-20","passed","2026-09-20","TestPublish","test_disk_general","",""
"","1324","test_get_info_about_disk[headers0-200]","tests.test_disk","2026-09-20","passed","2026-09-20","","test_disk_general","",""
"Удаление существующего файла - 204 No Content.","1277","test_delete_success","tests.test_disk","2026-09-20","passed","2026-09-20","TestDelete","test_disk_general","",""
"","223","test_get_info_about_disk[headers1-401]","tests.test_disk","2026-09-20","passed","2026-09-20","","test_disk_general","",""
"Несуществующий путь - 404.","616","test_get_meta_not_found","tests.test_disk","2026-09-20","passed","2026-09-20","TestGetMeta","test_disk_general","",""
"Опубликованный файл доступен по прямой ссылке скачивания.","481","test_published_resource_has_download_link","tests.test_disk","2026-09-20","passed","2026-09-20","TestPublish","test_disk_general","",""
"Метаинформация о существующем файле - 200 + Resource.","494","test_get_meta_success","tests.test_disk","2026-09-20","passed","2026-09-20","TestGetMeta","test_disk_general","",""
